time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.22644396459e-07,-3.07062578747e-07,5.36738665192,6.28305378019,6.28314268757,0.0,1.27571035359e-05,-3.58065059868e-05,7.23493024929,-0.00698344013084,-0.0021704726154,0.0,900.216163995,900.128349293,900.153295873,899.870700616
0.12000000000000001,-5.37493788014e-05,0.0227836515592,5.81225618729,5.00208315088,0.00135818323253,0.0,-0.00291464752414,0.605465517795,6.55703324392,-5.54608987779,-0.175272191678,0.0,900.327036041,893.293599812,900.141435229,633.301905332
0.18,-0.000395062983253,-0.001865568218,6.19381667649,1.71786124808,0.00247239421043,0.0,-0.0098531459443,-1.24402300918,5.65961797875,-15.3532977361,-0.506295700915,0.0,900.401160537,886.864641538,900.402893079,99.8418942935
0.23999999999999996,-0.00947239109435,-0.063013871991,6.51741127615,1.97361859601,6.11649276301,0.0,-0.446935263116,-0.946724872643,5.39152796603,-22.0445377844,-11.1581164319,0.0,900.649925011,100.115952666,900.65303096,99.9775354207
0.3,-0.0227498824587,-0.0993519052694,6.81810711354,2.85191903413,4.18190388737,0.0,-0.374741317285,-0.571927374035,4.79927930266,-25.682357019,-19.4084753217,0.0,900.912869555,99.7148743829,900.900749009,100.293771726
0.36000000000000004,-0.0188572599505,-0.127004850086,7.08642349907,1.78203546413,0.786793172787,0.0,0.0954306751282,-0.0659788490748,3.8095838923,-27.3942374074,-24.3363605446,0.0,901.20973082,100.11601146,900.848592711,100.260971752
0.4200000000000001,-0.0444759734841,-0.101642404747,7.29974856025,0.220803158844,0.311467060141,0.0,-0.911627395867,0.86174977831,3.53420981555,-28.1506978072,-26.785161462,0.0,901.074579468,100.140281724,901.227057832,100.126747112
0.48000000000000015,-0.102170153873,-0.0529326970725,7.53261099967,4.82528680744,5.17272535158,0.0,-0.730066679327,0.480009864662,4.09841031946,-28.470190065,-27.8833858352,0.0,900.954286532,100.03749415,901.195325911,99.9982183384
0.5400000000000001,-0.10510207631,-0.0325393989587,7.76447361867,3.11689621975,3.52731528128,0.0,0.603063996536,0.444944240724,3.78071141626,-28.5977030169,-28.3531401729,0.0,900.946503652,99.9847190535,900.92455131,100.145528166
0.6000000000000002,-0.0657569186578,-0.0176836066204,8.00930712095,1.40026291239,1.82809887731,0.0,0.365313210888,-0.163747626467,4.18307137653,-28.6505311399,-28.5465821182,0.0,900.766239552,99.9484155976,900.911968822,100.054026759
0.6600000000000003,-0.0848721371506,-0.0296216372003,8.2486940779,5.96399587902,0.114507176327,0.0,-0.889437101111,-0.0886193508418,4.04637316938,-28.6714618422,-28.6220418167,0.0,900.53480021,100.131746305,900.875606936,100.130606796
0.7200000000000003,-0.130317877082,-0.0553159529891,8.50471203805,4.24357143038,4.6798516512,0.0,-0.307039293418,-0.837356091596,4.19916168359,-28.6773383916,-28.6490343942,0.0,900.271792171,99.7617065303,900.721836505,100.057565179
0.7800000000000004,-0.110099080618,-0.100617931798,8.75054751834,2.522758631,2.96061893533,0.0,0.774177070805,-0.697433218686,4.28942878718,-28.6851159887,-28.6626870407,0.0,900.415862758,99.887659023,900.999504693,100.03373256
0.8400000000000004,-0.0827674982963,-0.167256259194,9.01358656333,0.801537586481,1.24082392128,0.0,-0.125510657177,-1.42102265937,4.21201008581,-28.6899654106,-28.6640131781,0.0,900.168738548,99.6774091011,901.144277303,100.525950731
0.9000000000000005,-0.12308351564,-0.246182497896,9.26991864808,5.36342151531,5.80429175559,0.0,-0.936983906904,-1.38890777903,4.55098889543,-28.6861324261,-28.6591261604,0.0,899.901438325,99.9158516031,900.821399085,100.449947447
0.9600000000000005,-0.150499152028,-0.353913170235,9.53860793317,3.64211268392,4.08460669163,0.0,0.204652800465,-1.95256528758,4.23500017801,-28.6922236748,-28.665063206,0.0,900.338906687,99.9985922869,901.261851912,100.69553207
1.0200000000000005,-0.114074334748,-0.467654161153,9.80445250618,1.92043910594,2.36462160351,0.0,0.680786303689,-2.12069425087,4.70839791578,-28.698443518,-28.6686280164,0.0,900.376404824,99.8977074414,901.434694686,100.582867611
1.0800000000000005,-0.109322650468,-0.613473485466,10.0765194647,0.198544191994,0.644566372827,0.0,-0.604379471318,-2.44712829707,4.36246366967,-28.6979200531,-28.6660267969,0.0,900.159541356,99.7887498018,901.274753315,100.51681208
1.1400000000000006,-0.158869723213,-0.765326796918,10.3549720409,4.75986438649,5.20784130311,0.0,-0.701984669806,-2.89209953133,4.82977327725,-28.6975058487,-28.6639211213,0.0,900.05687756,99.4551277558,901.21785378,100.201235552
1.2000000000000006,-0.160751594521,-0.948124431403,10.6299762691,3.03826226222,3.48800795995,0.0,0.612402069276,-2.94683074466,4.5088734174,-28.6878309966,-28.6638674089,0.0,900.128826467,99.6177303131,900.70725342,100.019672664
1.2600000000000007,-0.122510596236,-1.13887363085,10.9167085349,1.31702311361,1.76806441964,0.0,0.325674404523,-3.59879606306,4.83022325265,-28.6865021692,-28.6686510276,0.0,900.383205844,99.7203042375,900.808845264,99.7655988229
1.3200000000000007,-0.143719157884,-1.35586119228,11.1964711717,5.87912015083,0.0480056804611,0.0,-0.897891430933,-3.5294212328,4.76026329943,-28.6824535329,-28.6662614249,0.0,900.168014295,99.787065328,900.68990796,100.290268775
1.3800000000000008,-0.187411076085,-1.58929480005,11.4923573193,4.15817064491,4.61124037863,0.0,-0.253817278588,-4.28415750158,4.81651111943,-28.6824268385,-28.6650981506,0.0,900.152588474,99.784884641,900.743695691,100.045802788
